,list_u,list_v,list_W,time_with_SVD,time_wthout_SVD,list_err_inf,rank
11,"[[59.46387883]
 [72.90083787]
 [90.68042877]
 ...
 [25.74337157]
 [27.85269175]
 [28.99199109]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486928]
 [3.35187207]
 [1.37610307]]",564184938.2718767,14.80542278289795,0.8756542205810547,3.476279364708103,135
12,"[[59.46388163]
 [72.90086769]
 [90.68019897]
 ...
 [25.74342694]
 [27.8527537 ]
 [28.99205526]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486944]
 [3.35187205]
 [1.37610306]]",564184932.5126917,15.927714824676514,0.9550056457519531,1.8526957745770454,145
13,"[[59.46383006]
 [72.9009603 ]
 [90.68024002]
 ...
 [25.7434503 ]
 [27.85278648]
 [28.99209352]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486935]
 [3.35187205]
 [1.37610307]]",564184928.7965777,15.912035465240479,0.9903502464294434,1.1452326356119613,155
14,"[[59.46377568]
 [72.90095989]
 [90.6802982 ]
 ...
 [25.74344732]
 [27.85278909]
 [28.9920999 ]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486938]
 [3.35187204]
 [1.37610307]]",564184946.1071748,17.418031692504883,1.0659115314483643,0.6631551734061025,165
15,"[[59.46377239]
 [72.90095686]
 [90.68029276]
 ...
 [25.74344662]
 [27.85278629]
 [28.992096  ]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184923.8809108,17.977713108062744,1.1504707336425781,0.3412770742986806,175
16,"[[59.46376914]
 [72.90094507]
 [90.68031628]
 ...
 [25.74344876]
 [27.85278637]
 [28.99209484]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486936]
 [3.35187204]
 [1.37610307]]",564184923.7735987,18.87759232521057,1.185028076171875,0.24587903224489444,185
17,"[[59.46377095]
 [72.90092964]
 [90.68029996]
 ...
 [25.74345058]
 [27.85278719]
 [28.992095  ]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9250361,19.80133843421936,1.3910737037658691,0.19457013367021203,195
18,"[[59.46376879]
 [72.90092299]
 [90.68029601]
 ...
 [25.74345042]
 [27.85278713]
 [28.99209501]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486938]
 [3.35187204]
 [1.37610307]]",564184925.0784563,20.768105268478394,1.3243463039398193,0.08987489754811158,205
19,"[[59.46376745]
 [72.90092048]
 [90.68028688]
 ...
 [25.74345045]
 [27.8527877 ]
 [28.99209582]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486938]
 [3.35187204]
 [1.37610307]]",564184927.1093738,21.24375319480896,1.3983492851257324,0.06428298738201463,215
20,"[[59.46376428]
 [72.900919  ]
 [90.68028747]
 ...
 [25.74344955]
 [27.85278654]
 [28.99209459]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184927.9617249,21.84163808822632,1.4785783290863037,0.043553741940778344,225
21,"[[59.46376378]
 [72.90091901]
 [90.68028875]
 ...
 [25.74344923]
 [27.85278615]
 [28.99209418]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.7608794,22.896934270858765,1.6471331119537354,0.025291416890891125,235
22,"[[59.46376348]
 [72.90091839]
 [90.68028908]
 ...
 [25.7434492 ]
 [27.85278602]
 [28.992094  ]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9906313,24.04916214942932,1.6325361728668213,0.01722728197985688,245
23,"[[59.46376301]
 [72.90091828]
 [90.68028981]
 ...
 [25.74344924]
 [27.85278607]
 [28.99209407]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.8020302,24.04908800125122,1.6442956924438477,0.013150294804561397,255
24,"[[59.46376319]
 [72.90091869]
 [90.68029017]
 ...
 [25.74344942]
 [27.85278634]
 [28.99209437]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184927.0957881,25.052472352981567,1.7408618927001953,0.0062761953866290986,265
25,"[[59.46376328]
 [72.90091874]
 [90.68029029]
 ...
 [25.74344945]
 [27.85278639]
 [28.99209444]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9811406,25.893123865127563,1.8574116230010986,0.004677373834946726,275
26,"[[59.46376334]
 [72.90091882]
 [90.68029032]
 ...
 [25.74344947]
 [27.85278644]
 [28.99209449]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.8981736,26.474019289016724,1.9013681411743164,0.003073543050521285,285
27,"[[59.46376353]
 [72.90091895]
 [90.6802904 ]
 ...
 [25.74344946]
 [27.85278643]
 [28.99209448]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.8137133,27.37285089492798,1.9409372806549072,0.002117696783584556,295
28,"[[59.46376356]
 [72.90091906]
 [90.68029033]
 ...
 [25.74344946]
 [27.85278642]
 [28.99209447]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9482107,28.441714763641357,2.015899896621704,0.0015403000142083163,305
29,"[[59.46376354]
 [72.90091901]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9412563,28.982573986053467,2.0493388175964355,0.0009759340384225398,315
30,"[[59.46376354]
 [72.90091899]
 [90.68029035]
 ...
 [25.74344947]
 [27.85278642]
 [28.99209447]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.947276,30.944584369659424,2.979456663131714,0.0007287497941804279,325
31,"[[59.46376355]
 [72.900919  ]
 [90.68029035]
 ...
 [25.74344947]
 [27.85278642]
 [28.99209447]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.946384,30.871505975723267,2.72396183013916,0.0005792052899885619,335
32,"[[59.46376355]
 [72.90091899]
 [90.68029033]
 ...
 [25.74344946]
 [27.85278642]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.938873,31.082273960113525,2.2573728561401367,0.00039256681772276944,345
33,"[[59.46376356]
 [72.90091898]
 [90.68029035]
 ...
 [25.74344946]
 [27.85278642]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9346415,33.37394428253174,2.513725757598877,0.00029114300068373004,355
34,"[[59.46376356]
 [72.900919  ]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9344938,33.66369366645813,3.048635959625244,0.00019399919878081002,365
35,"[[59.46376356]
 [72.900919  ]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9356074,33.69872307777405,2.5440244674682617,0.00011073870623625631,375
36,"[[59.46376356]
 [72.900919  ]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9353558,35.33106565475464,2.5245680809020996,7.302700090428118e-05,385
37,"[[59.46376356]
 [72.90091901]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9346645,37.014007806777954,2.560941219329834,6.554050696220206e-05,395
38,"[[59.46376356]
 [72.90091901]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9355414,36.55451202392578,3.1205759048461914,4.338407653792953e-05,405
39,"[[59.46376356]
 [72.90091901]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9353278,36.62729787826538,2.7270593643188477,2.7683016791082253e-05,415
40,"[[59.46376356]
 [72.90091901]
 [90.68029034]
 ...
 [25.74344946]
 [27.85278641]
 [28.99209446]]","[[0.05035264]
 [0.05014254]
 [0.052384  ]
 ...
 [9.64486937]
 [3.35187204]
 [1.37610307]]",564184926.9361434,39.36224555969238,2.726212739944458,2.393068928645737e-05,425
